company,region,phone,contact,availability,notes
Precision Lock & Key,CA - San Diego,619-555-4477,Kim Rossi,24/7,"EV-safe unlocks"
Frontier Locksmiths,CO - Denver,303-555-1199,Sam Patel,Mon-Sat,"Ignition barrel replacements"
Delta Secure,GA - Atlanta,470-555-3388,Lisa Turner,24/7,"Fleet priority channel"
Hudson Lock Co.,NY - Albany,518-555-2244,Chris Miller,Mon-Fri,"Key programming bench"
Canyon Keys,UT - Salt Lake City,801-555-9901,Olivia Hayes,24/7,"Mobile rekey unit"
Empire Lock & Key, NY - Manhattan, 212-555-0147, Daniel Cruz, 24/7, High-security fleet unlocks
Hudson Valley Locksmiths, NY - Poughkeepsie, 845-555-2299, Maria Alvarez, Mon-Sat, Commercial lock replacements
MetroSafe Locksmith, NY - Brooklyn, 718-555-8831, Steve Romano, 24/7, Rapid-response rekey service
Queens Rapid Lock Service, NY - Queens, 347-555-4410, Priya Desai, Mon-Fri, Key programming for fleet vans
Upstate Precision Lock, NY - Syracuse, 315-555-7720, Harold Greene, 24/7, Ignition repair and smart-key cloning
Capital District Locksmith, NY - Albany, 518-555-9033, Caroline Fisher, Mon-Sat, Rekey & masterkey systems
Long Island Mobile Lock Co., NY - Nassau County, 516-555-3398, Josh Kaplan, 24/7, Mobile unit for roadside lockouts
Rochester Lockworks, NY - Rochester, 585-555-6611, Elena Vargas, Mon-Fri, Automotive EEPROM programming
Buffalo Secure Access, NY - Buffalo, 716-555-2844, Mike Donnelly, 24/7, Heavy-duty truck lockouts
Bronx Fleet Locksmith, NY - Bronx, 917-555-7042, Jordan Smith, Mon-Sun, Fast access services for delivery fleets
Staten Island Key Pros, NY - Staten Island, 718-555-3144, Anthony Russo, Mon-Sat, Ignition cylinder replacements
North Country Lock & Safe, NY - Watertown, 315-555-4821, Erika Johnson, Mon-Fri, Rekey and lock repair for fleet yards
Finger Lakes Mobile Locksmith, NY - Ithaca, 607-555-9020, Tom Hensley, 24/7, Emergency onsite rekey
Adirondack Key Solutions, NY - Plattsburgh, 518-555-1205, Sarah Monroe, Mon-Sun, Vehicle access specialist
Harlem Secure Locksmith, NY - Manhattan, 646-555-7728, Daryl Mitchell, 24/7, Fleet digital key resets
